Город,Федеральный округ,lat,lng
Брянск,Центральный,"53,243562","34,363443"
Жуковка,Центральный,"53,533062","33,732547"
Злынка,Центральный,"52,427384","31,737075"
Карачев,Центральный,"53,121594","34,982796"
Клинцы,Центральный,"52,753143","32,233852"
Мглин,Центральный,"53,061069","32,847806"
Новозыбков,Центральный,"52,536717","31,933222"
Почеп,Центральный,"52,92913","33,454267"
Севск,Центральный,"52,156089","34,495091"
Сельцо,Центральный,"53,373933","34,105932"
Стародуб,Центральный,"52,585277","32,760346"
Сураж,Центральный,"53,013891","32,393043"
Трубчевск,Центральный,"52,579077","33,766073"
Унеча,Центральный,"52,845115","32,670676"
Фокино,Центральный,"53,455436","34,415923"
