Город,Федеральный округ,lat,lng
Архангельск,Северо-Западный,"64,539393","40,516939"
Вельск,Северо-Западный,"61,065915","42,10331"
Каргополь,Северо-Западный,"61,505339","38,948166"
Коряжма,Северо-Западный,"61,315335","47,159855"
Котлас,Северо-Западный,"61,25297","46,633217"
Мезень,Северо-Западный,"65,839904","44,25314"
Мирный,Северо-Западный,"62,541028","113,978692"
Новодвинск,Северо-Западный,"64,413683","40,820821"
Няндома,Северо-Западный,"61,669822","40,204388"
Онега,Северо-Западный,"63,914485","38,086646"
Северодвинск,Северо-Западный,"64,562501","39,818175"
Сольвычегодск,Северо-Западный,"61,330589","46,928089"
Шенкурск,Северо-Западный,"62,10565","42,899612"
