Город,Федеральный округ,lat,lng
Артёмовск,Сибирский,"54,347336","93,435749"
Ачинск,Сибирский,"56,269496","90,495231"
Боготол,Сибирский,"56,210117","89,531258"
Бородино,Сибирский,"55,905442","94,902177"
Дивногорск,Сибирский,"55,957721","92,380148"
Дудинка,Сибирский,"69,403081","86,190854"
Енисейск,Сибирский,"58,453069","92,173769"
Железногорск,Сибирский,"52,337971","35,351743"
Заозёрный,Сибирский,"55,961818","94,709228"
Зеленогорск,Сибирский,"56,113246","94,589006"
Игарка,Сибирский,"67,466954","86,567715"
Иланский,Сибирский,"56,238552","96,065297"
Канск,Сибирский,"56,205045","95,705055"
Кодинск,Сибирский,"58,603398","99,179748"
Красноярск,Сибирский,"56,010563","92,852572"
Лесосибирск,Сибирский,"58,221728","92,503657"
Минусинск,Сибирский,"53,710564","91,687268"
Назарово,Сибирский,"56,012345","90,417688"
Норильск,Сибирский,"69,349033","88,201176"
Сосновоборск,Сибирский,"56,120211","93,335434"
Ужур,Сибирский,"55,320155","89,844006"
Уяр,Сибирский,"55,813172","94,328297"
Шарыпово,Сибирский,"55,539064","89,180151"
