Город,Федеральный округ,lat,lng
Александров,Центральный,"56,397774","38,727621"
Владимир,Центральный,"56,129057","40,406635"
Вязники,Центральный,"56,247021","42,158862"
Гороховец,Центральный,"56,201695","42,691194"
Гусь-Хрустальный,Центральный,"55,619818","40,657902"
Камешково,Центральный,"56,348916","40,995588"
Карабаново,Центральный,"56,313269","38,703438"
Киржач,Центральный,"56,161709","38,872052"
Кольчугино,Центральный,"56,293901","39,376042"
Костерёво,Центральный,"55,933701","39,624732"
Курлово,Центральный,"55,454968","40,611208"
Лакинск,Центральный,"56,018001","39,956525"
Меленки,Центральный,"55,338715","41,63403"
Муром,Центральный,"55,579169","42,052411"
Петушки,Центральный,"55,930967","39,4599"
Покров,Центральный,"55,916633","39,173374"
Радужный,Центральный,"62,134265","77,458439"
Собинка,Центральный,"55,993837","40,017943"
Струнино,Центральный,"56,37493","38,584079"
Судогда,Центральный,"55,949879","40,856295"
Суздаль,Центральный,"56,419836","40,449457"
Юрьев-Польский,Центральный,"56,49925","39,680814"
